Transcription,Type
kya bolun Main Nahin matlab kya bulwana kya chahte ho bhai Banda Salam Kar Raha Hai Dua de raha hai koi return hi nahin a Raha Nahin to Fir kya bole Banda Koi Awaaz hi nahin a Rahi tumhara mobile mobile ko bhai,Toxic
Tumne to Mujhe Pagal samjha hai ki main tumhari baat hai main a Jaunga,Toxic
Kasur Tera nahin tum University jagna mummy daddy baccha ban gaya,Toxic
mujhe nahin Pata Tha ki tum meri feelings ke sath Is Tarah ko Khel Ho Gaya laddu Mein Puche Tumhe Barbad Karega idiot,Toxic
Rajasthan Rajasthan to bada Calcutta Jayegi Deepak Ke Liye Koi tamiz Koi real Koi Aaya hi nahi Naat,Toxic
Mujhe include Na Karo Aisa Kuchh Bhi Nahin Hai Main Nahin aaungi,Normal
annual party to December Mein Nahin Hoti abhi to November chal raha hai December 14 15 16 date Mein hoti hai,Normal
aap to participate kar,Normal
Maine pahle message Nahin pahle Mujhe yahan se batao like Nind a rahi hai,Normal
yah chal kya raha hai,Normal
